ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,185242031,"The Shining - Thị Kiến",200000,269000,69000,26
TIKI,nha-sach-tiki,77105730,"Tàn Ngày Để Lại (Bìa Cứng)",126000,169000,43000,25
TIKI,nha-sach-tiki,183058543,"OSHO - Trưởng Thành",89100,128000,38900,30
TIKI,nha-sach-tiki,17336360,"Lolita (Tái Bản 2019)",92900,128000,35100,27
TIKI,nha-sach-tiki,378448,"Nhà Giả Kim",66950,66950,0,0
TIKI,nha-sach-tiki,170708233,"Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ (Tái Bản)",140000,189000,49000,26
TIKI,nha-sach-tiki,187827003,"Không Diệt Không Sinh Đừng Sợ Hãi (TB5)",75000,110000,35000,32
TIKI,nha-sach-tiki,53532186,"Tuyệt kỹ Giao dịch bằng đồ thị nến Nhật – Japanese Candlestick Charting Techniques",499000,499000,0,0
TIKI,nha-sach-tiki,14508205,"Sổ tay thực hành 66 ngày thử thách",89000,89000,0,0
TIKI,nha-sach-tiki,196923451,"Vua Sáng Chế - Tập 17",20000,20000,0,0
TIKI,nha-sach-tiki,73878873,"Tư Duy Sâu",64100,91000,26900,30
TIKI,nha-sach-tiki,50414368,"Án Mạng Mười Một Chữ",75400,110000,34600,31
TIKI,nha-sach-tiki,57762732,"Nhà Đầu Tư Thông Minh (Tái Bản 2020)",154000,199000,45000,23
TIKI,nha-sach-tiki,750578,"Khi Hơi Thở Hóa Thinh Không",74000,109000,35000,32
TIKI,nha-sach-tiki,196515661,"Văn Phòng Thám Tử Quái Vật - Tập 12",23500,30000,6500,22
TIKI,nha-sach-tiki,196515664,"Anh Em Phi Hành Gia - Tập 33",44500,45000,500,1
TIKI,nha-sach-tiki,12377498,"Bố Con Cá Gai (Tái Bản 2019)",74400,96000,21600,23
TIKI,nha-sach-tiki,45902241,"Tìm Mình Trong Thế Giới Hậu Tuổi Thơ",106000,142000,36000,25
TIKI,nha-sach-tiki,158019964,"Combo 4 Cuốn Bộ Sách: Nuôi Con Không Phải Là Cuộc Chiến (Tái Bản)",350300,506000,155700,31
TIKI,nha-sach-tiki,191571494,"Black Jack - Tập 12",30000,30000,0,0
TIKI,nha-sach-tiki,162844699,"Tạm Biệt Tôi Của Nhiều Năm Về Trước",67800,95000,27200,29
TIKI,nha-sach-tiki,110448022,"Ba Phút Sơ Cứu",104000,140000,36000,26
TIKI,nha-sach-tiki,115266692,"Sách - Ám Ảnh Sợ Xã Hội - Chạy Trốn Hay Đối Mặt",82900,125000,42100,34
